SKU,LeadTime
798304395136,3
798304169072,2
798304441550,2
798304173284,2
810128953061,2
798304460827,2
798304348354,2
798304395068,2
798304282092,2
850035852279,2
798304169089,2
850035852385,2
798304451962,2
798304352252,2
798304495423,2
798304493375,2
798304468748,2
798304214161,2
810128951951,2
798304497274,2
798304493337,2
798304471458,2
798304497281,2
798304441499,2
798304381849,2
798304497250,2
810128951142,2
798304497267,2
810128951210,2
798304468762,2
810128950244,2
798304411805,2
810128952118,2
810128951098,2
810128951104,2
810128952774,2
850035852453,2
810128952828,2
810128952767,2
798304497298,2
810128951234,2
798304444810,2
798304497212,2
810128951241,2
810128950169,2
810128951197,2
850035852866,2
810128950909,2
850035852576,2
810128950879,2
850035852422,2
850035852880,2
810128950183,2
810128952095,2
850035852743,2
810128952866,2
798304471465,2
810128951135,2
810128952132,2
810128951203,2
810128952910,2
850035852606,2
850035852842,2
810128952163,2
810128951128,2
810128951050,2
810128950237,2
850035852927,2
850035852590,2
810128952873,2
798304451924,2
850035852620,2
850035852828,2
810128953047,2
810128951074,2
810128952859,2
810128951289,2
810128951043,2
798304441512,2
810128952842,2
810128952835,2
810128952156,2
850035852538,2
810128951067,2
810128951036,2
810128953108,2
810128952125,2
810128952231,2
810128951081,2
810128952743,2
810128952781,2
850035852545,2
850035852415,2
810128950251,2
810128950992,2
850035852552,2
810128951180,2
850035852583,2
810128952811,2
810128950268,2
810128951265,2
850035852903,2
850035852804,2
810128952750,2
810128951258,2
810128951272,2
810128950916,2
850035852767,2
810128952798,2
850035852569,2
810128951111,2
810128953030,2
798304441543,2
850035852408,2
810128950213,2
,2
,2
810128952828,2
850035852460,2
